,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-12-11,5.48,,29.4626,49.1178,65.205,48.1964,20.1589,16.2097,17.6,26.6718
2019-12-12,5.6,,29.4544,49.4616,64.8395,48.6591,19.9869,16.5676,17.91,26.9776
2019-12-13,5.866,,30.0502,49.1374,64.8098,49.5073,19.9486,16.6901,18.49,27.0945
2019-12-16,5.886,,29.3633,49.7759,63.9207,49.5555,21.3824,16.4156,18.11,27.2474
2019-12-17,5.98,,29.8102,49.2553,63.7231,49.276,21.5354,16.646,18.02,27.4992
2019-12-18,5.924,,30.1909,49.6679,63.2291,49.8351,22.0037,16.6166,17.83,27.9038
2019-12-19,6.0,,30.3399,49.9724,63.9602,50.0953,21.717,16.4695,18.27,27.9982
2019-12-20,6.182,,30.2075,50.6895,63.9602,49.6423,22.7493,16.6117,19.15,28.277
2019-12-23,6.66,,30.4889,51.5737,65.0074,50.7315,22.9882,16.5814,19.46,28.4569
2019-12-26,6.868,,30.9523,52.8605,63.9898,51.5701,23.8676,17.1015,19.89,28.5693
2019-12-27,6.78,,30.8696,52.3202,63.2094,51.6665,23.6956,17.342,19.88,28.2366
2019-12-30,6.612,,30.704,51.9666,63.2291,51.599,23.7051,17.0083,20.0,28.2096
2020-01-02,7.156,,31.4861,53.5384,63.1402,52.2738,24.8426,17.2929,20.76,28.8391
2020-01-03,7.57,,31.155,53.617,62.2412,52.4666,24.7375,17.0721,20.42,28.1017
2020-01-06,7.718,,30.6913,53.5285,61.8559,52.6208,24.5176,17.1163,20.37,28.6502
2020-01-07,7.728,,29.9793,53.6857,62.1424,52.0135,23.8963,17.2488,20.69,28.6322
2020-01-08,7.57,,29.4908,53.8331,61.2532,52.3413,24.0397,16.5961,20.77,28.3265
2020-01-09,7.28,,28.903,53.8232,60.5616,52.6112,23.8963,16.3507,20.66,28.4209
2020-01-10,7.444,,28.6463,53.7741,60.1269,53.4016,23.7243,16.6844,20.94,28.7491
2020-01-13,7.764,,29.0272,55.3361,62.0436,53.2666,23.5809,16.8415,21.84,28.7087
2020-01-14,8.222,,29.0272,55.1592,62.2412,53.1317,23.5044,17.1751,21.42,29.2662
2020-01-15,8.26,,28.6712,54.4618,61.925,52.6112,23.1316,17.288,21.1,29.0639
2020-01-16,8.276,,28.7291,54.2162,61.7472,52.7365,22.4625,17.6021,21.3,29.2842
